Price,Close,High,Low,Open,Volume
Ticker,HBL.KA,HBL.KA,HBL.KA,HBL.KA,HBL.KA
Date,,,,,
2024-09-20,115.3071060180664,117.21912310352775,107.5508217189202,107.5508217189202,16166846
2024-09-23,115.72198486328125,116.68701778147063,114.0083922429643,115.44240000266383,6578961
2024-09-24,115.83020782470703,116.70504586404182,113.89114176495634,116.2991964284901,4258144
2024-09-25,116.75013732910156,117.42655760767319,114.58559794239467,116.33527393152221,3701632
2024-09-26,116.16390991210938,119.41071893588857,115.57767075709253,117.24617958670244,4352809
2024-09-27,115.31612396240234,116.93050755922869,115.08162968405948,115.44238852437867,2536054
2024-09-30,114.57657623291016,116.24507819822301,111.4740597095416,115.89334020643446,2427707
2024-10-01,112.68260192871094,116.22703759074392,111.9250076369346,114.54952162653807,1360816
2024-10-02,114.19778442382812,114.540501557663,111.02311470057779,112.51124070329496,4590754
2024-10-03,115.61376190185547,117.06581138841436,113.2507978020303,113.68370982920636,7029524
2024-10-04,116.74112701416016,118.37355246917946,115.08163896718928,115.68591299785164,2129048
2024-10-07,116.43448638916016,117.07482323272646,115.66787121168963,116.3442915111732,2489854
2024-10-08,124.23585510253906,126.80625760938275,116.11881193794486,116.11881193794486,10525888
2024-10-09,124.23585510253906,124.23585510253906,124.23585510253906,124.23585510253906,0
2024-10-10,124.13665008544922,127.11290209019737,123.25279810016724,127.11290209019737,2862475
2024-10-11,122.70264434814453,125.273033213795,121.56624944422192,124.01038750033226,4278696
2024-10-14,122.08934783935547,123.55943899910817,121.75565156846424,123.37906300840497,1370755
2024-10-15,123.78492736816406,124.44330600650646,121.40392822281157,121.98113971981195,674825
2024-10-16,121.61134338378906,125.81417133479555,120.86276996027289,124.41623334538112,2452858
2024-10-17,120.92591094970703,122.43207180222934,119.27544379996192,122.43207180222934,1650771
2024-10-18,120.87179565429688,121.71055017663292,118.68921458553446,119.28445395933838,1812545
2024-10-21,121.95406341552734,122.18855081597194,120.40280519891154,120.87179376160604,1067275
2024-10-22,122.00818634033203,124.46133846020228,121.85486605306596,121.9360331883586,1433632
2024-10-23,125.12873077392578,125.65183074576485,121.3046967186566,122.58538405861913,3975976
2024-10-24,128.38836669921875,129.91138183863777,125.37019533015935,127.1996726474942,4238144
2024-10-25,128.87127685546875,129.77208605064567,127.36682489003317,127.36682489003317,3277897
2024-10-28,129.88351440429688,131.40652944375682,128.62052528593864,128.62052528593864,3452345
2024-10-29,129.7999267578125,131.73155784512878,129.09413002820057,129.45630997142558,1472662
2024-10-30,127.20893096923828,130.47784609898875,126.39171281456186,130.01351212710622,619331
2024-10-31,121.42333984375,127.22751478847992,120.7268388503824,127.22751478847992,3432757
2024-11-01,124.37651062011719,125.27731980197362,120.77328806304196,121.18190429031917,942345
2024-11-04,122.60275268554688,125.36089776472859,122.11984136037844,124.34863888056513,443202
2024-11-05,121.13546752929688,122.12913501375346,120.50396586158716,122.12913501375346,702163
2024-11-06,122.04554748535156,122.59345820727721,120.27178819537275,121.13545680838278,518233
2024-11-07,120.33680725097656,122.95564377537586,119.79817808318383,122.3520152128641,1417473
2024-11-08,119.75173950195312,121.59979398093454,119.29670123678024,120.27179133092187,1166098
2024-11-11,118.34945678710938,121.59979491343931,117.95012924818184,121.59979491343931,1128150
2024-11-12,116.5385513305664,118.86951011431324,116.08350597100903,118.86951011431324,1043642
2024-11-13,116.40853881835938,116.91930908066603,115.52630700365691,116.54784044309527,1150637
2024-11-14,121.21903228759766,121.64622580037063,116.3156664062553,116.54783340507018,2093410
2024-11-15,124.32079315185547,125.37019263210303,121.6555202578185,121.6555202578185,2916396
2024-11-18,128.48123168945312,129.64206676373314,122.6306200810118,124.62725074063343,2788981
2024-11-19,128.4069366455078,130.94219648203648,127.7847307456451,128.85269334668482,1966284
2024-11-20,124.52508544921875,130.92360723438634,123.98645632292069,128.62051462256088,4070058
2024-11-21,125.27731323242188,126.20598127467956,123.98646522049768,124.53439013489553,2979799
2024-11-22,134.37826538085938,137.805052787805,125.83452206719372,125.83452206719372,19337975
2024-11-25,136.6813507080078,143.65565652182283,134.6568612509678,134.8425920186234,8325904
2024-11-26,143.4884796142578,150.35133518651682,133.8210570403194,137.20140780587698,15664430
2024-11-27,157.83642578125,157.83642578125,147.19388384377464,148.5590269916004,16437727
2024-11-28,164.78285217285156,169.3890375170534,159.49872898605759,162.75834856444698,9935745
2024-11-29,168.08892822265625,169.85339196679794,160.1952492729735,165.3029238874741,4003513
2024-12-02,169.4261932373047,171.6085545486208,165.07073802305513,169.3426165176705,3552010
2024-12-03,165.5258026123047,169.43548726847732,162.6190670061512,169.43548726847732,3401122
2024-12-04,161.3746337890625,166.23156320437548,160.47382474309808,165.45148552653464,4623087
2024-12-05,162.07115173339844,164.28137205219247,158.68150485538743,161.40250960509186,5266009
2024-12-06,161.73683166503906,164.60641255065164,160.70600955841562,162.51690942941627,3748921
2024-12-09,155.19900512695312,159.7123325664019,154.381786851697,157.88285531361947,3592330
2024-12-10,152.11582946777344,156.43413023337413,149.92417230232977,155.08756439455726,3169807
2024-12-11,152.4315643310547,154.57678513504337,149.60841985753063,151.93008984805502,1676345
2024-12-12,157.32565307617188,157.87356380850576,152.30155567408792,152.30155567408792,3035039
2024-12-13,150.47207641601562,157.3163551101706,149.16265112199474,156.9448935745835,2530295
2024-12-16,148.2432861328125,151.14072592948324,147.24032293311495,150.44422488833354,4109609
2024-12-17,151.88365173339844,155.18042591318888,146.46023410357546,146.78525939601465,3255283
2024-12-18,150.1842041015625,155.18044294208187,148.59617543849077,155.08757046527984,1767041
2024-12-19,143.4699249267578,151.4657570017404,141.6218704989216,150.18419062271383,2194124
2024-12-20,145.3829803466797,145.80087811868248,142.0862060647033,142.18836011300172,1293668
2024-12-23,148.77261352539062,150.44421879046567,145.98660947371533,146.7202651427188,1939151
2024-12-24,146.9895782470703,150.91784014227576,146.4973853127695,148.98620889222641,1415722
2024-12-26,145.66159057617188,147.00815642630107,143.02416252179154,147.00815642630107,1519902
2024-12-27,145.03936767578125,146.44166548511177,143.94354619042204,145.33654825032934,1197397
2024-12-30,159.26657104492188,159.54517429481388,145.91231991200772,147.74179710953362,7671167
2024-12-31,162.0154266357422,165.76723914674284,156.90775260040837,160.76171915892965,7407018
